country,region,closure_start_date,closure_end_date,duration_hours,airspace_zone,reason,flights_affected
Yemen,Middle East,2026-02-28 01:03:00,2026-03-07 01:03:00,168,Full Airspace,Drone/UAV threat — altitude restriction,349
Afghanistan,Central Asia,2026-02-28 14:19:00,2026-03-03 14:19:00,72,UIR,Temporary restriction — missile trajectory zone,151
Saudi Arabia,Middle East,2026-03-01 00:33:00,2026-03-03 00:33:00,48,Full Airspace,Active combat zone — civilian restriction,735
Lebanon,Middle East,2026-03-01 00:37:00,2026-03-11 00:37:00,240,ADIZ,Precautionary closure — conflict proximity,435
Turkmenistan,Central Asia,2026-03-01 02:39:00,2026-03-03 02:39:00,48,UIR,Temporary restriction — missile trajectory zone,142
Yemen,Middle East,2026-03-01 05:53:00,2026-03-04 05:53:00,72,TFR,Airspace security threat — missile activity,710
Jordan,Middle East,2026-03-01 06:52:00,2026-03-15 06:52:00,336,ADIZ,Military operations — NOTAM issued,83
Armenia,Europe,2026-03-01 08:27:00,2026-03-02 08:27:00,24,UIR,Temporary restriction — missile trajectory zone,53
Turkey,Middle East,2026-03-01 16:25:00,2026-03-02 16:25:00,24,UIR,Precautionary closure — conflict proximity,759
Bahrain,Middle East,2026-03-01 17:43:00,2026-03-04 17:43:00,72,ADIZ,Active combat zone — civilian restriction,482
Qatar,Middle East,2026-03-01 21:59:00,2026-03-04 21:59:00,72,Full Airspace,Precautionary closure — conflict proximity,480
Iraq,Middle East,2026-03-02 01:15:00,2026-03-16 01:15:00,336,Full Airspace,Drone/UAV threat — altitude restriction,798
Qatar,Middle East,2026-03-02 01:57:00,2026-03-03 01:57:00,24,Full Airspace,Drone/UAV threat — altitude restriction,552
Lebanon,Middle East,2026-03-02 05:29:00,2026-03-16 05:29:00,336,FIR,Ballistic missile corridor — emergency NOTAM,552
Turkey,Middle East,2026-03-02 10:42:00,2026-03-06 10:42:00,96,TFR,Drone/UAV threat — altitude restriction,559
Iran,Middle East,2026-03-02 13:11:00,2026-03-12 13:11:00,240,Full Airspace,Ballistic missile corridor — emergency NOTAM,155
Yemen,Middle East,2026-03-02 14:47:00,2026-03-06 14:47:00,96,FIR,Ballistic missile corridor — emergency NOTAM,398
Somalia,East Africa,2026-03-02 17:26:00,2026-03-03 17:26:00,24,FIR,Precautionary closure — conflict proximity,20
