date,airline,flight_number,origin,destination,origin_country,destination_country,origin_region,destination_region,aircraft_type,passengers_affected,reason
2026-02-27,Air India,AI3752,Paris,Dubai,France,UAE,Europe,Middle East,Boeing 777-300ER,236,Airspace closure — NOTAM
2026-02-27,KLM,KL4404,Madrid,Doha,Spain,Qatar,Europe,Middle East,Boeing 737 MAX 8,130,Temporary corridor suspension — safety bulletin
2026-02-27,UPS Airlines,UP869,Frankfurt,Beijing,Germany,China,Europe,Asia Pacific,Boeing 787-9 Dreamliner,370,Crew safety — company policy
2026-02-27,British Airways,BR1148,Istanbul,Delhi,Turkey,India,Middle East,South Asia,Airbus A320neo,299,Airspace closure — NOTAM
2026-02-27,UPS Airlines,UP6170,Dubai,Beijing,UAE,China,Middle East,Asia Pacific,Boeing 787-10 Dreamliner,126,Insurance restriction — war zone
2026-02-28,China Eastern,CH9180,Dubai,London,UAE,UK,Middle East,Europe,Airbus A340-600,98,Insurance restriction — war zone
2026-02-28,IndiGo,IN6159,Dubai,Karachi,UAE,Pakistan,Middle East,South Asia,Boeing 777-300ER,137,Airspace closure — NOTAM
2026-02-28,Delta Air Lines,DE2183,Kuwait City,Mumbai,Kuwait,India,Middle East,South Asia,Airbus A380-800,305,Government travel ban
2026-02-28,Atlas Air,AT9293,Riyadh,Cairo,Saudi Arabia,Egypt,Middle East,North Africa,Airbus A330-300,312,Fuel supply disruption
2026-02-28,Southwest Airlines,SO3826,Doha,Toronto,Qatar,Canada,Middle East,North America,Airbus A320neo,307,Security risk — conflict zone
2026-02-28,SAS,SA5786,Muscat,London,Oman,UK,Middle East,Europe,Airbus A350-900,389,Insurance restriction — war zone
2026-02-28,China Southern,CH3642,New York,Doha,USA,Qatar,North America,Middle East,Boeing 737 MAX 8,158,Crew duty-time exceedance after long reroutes
2026-02-28,Southwest Airlines,SO3005,Doha,Mumbai,Qatar,India,Middle East,South Asia,Boeing 787-9 Dreamliner,340,Insurance restriction — war zone
2026-02-28,Iran Air,IR1789,Casablanca,Paris,Morocco,France,Africa,Europe,Boeing 777-200LR,242,Government travel ban
2026-02-28,Aeromexico,AE3896,Beijing,Frankfurt,China,Germany,Asia Pacific,Europe,Airbus A350-900,131,Insurance restriction — war zone
2026-02-28,LOT Polish Airlines,LO3186,London,Mexico City,UK,Mexico,Europe,Latin America,Airbus A330-300,201,ATC flow restrictions — congestion
2026-02-28,TAP Air Portugal,TA2694,London,Kuwait City,UK,Kuwait,Europe,Middle East,Boeing 777-300ER,268,Security risk — conflict zone
2026-03-01,TAP Air Portugal,TA6788,Washington,Abu Dhabi,USA,UAE,North America,Middle East,Airbus A330-300,409,Temporary corridor suspension — safety bulletin
2026-03-01,Gulf Air,GU2427,Istanbul,Delhi,Turkey,India,Middle East,South Asia,Airbus A380-800,326,Airport closure — military activity
2026-03-01,WestJet,WE7644,Addis Ababa,Doha,Ethiopia,Qatar,Africa,Middle East,Airbus A340-600,432,Crew duty-time exceedance after long reroutes
2026-03-01,Japan Airlines,JA1275,New York,Dubai,USA,UAE,North America,Middle East,Boeing 787-10 Dreamliner,87,Security risk — conflict zone
2026-03-01,Pakistan International Airlines,PA4335,Dubai,Karachi,UAE,Pakistan,Middle East,South Asia,Airbus A330-300,414,ATC flow restrictions — congestion
2026-03-01,Saudi Arabian Airlines,SA5316,Dubai,Amman,UAE,Jordan,Middle East,Middle East,Boeing 787-9 Dreamliner,209,Fuel supply disruption
2026-03-01,Mahan Air,MA1259,São Paulo,London,Brazil,UK,Latin America,Europe,Airbus A350-900,443,Security risk — conflict zone
2026-03-01,Jazeera Airways,JA3694,Beijing,Tehran,China,Iran,Asia Pacific,Middle East,Airbus A330-300,185,Crew duty-time exceedance after long reroutes
2026-03-01,Gulf Air,GU9130,Dubai,Sydney,UAE,Australia,Middle East,Asia Pacific,Boeing 737-800,410,Temporary corridor suspension — safety bulletin
2026-03-01,Ethiopian Airlines,ET3564,Abu Dhabi,Washington,UAE,USA,Middle East,North America,Airbus A321neo,419,Airspace closure — NOTAM
2026-03-01,Aeroflot,AE3878,Dubai,Helsinki,UAE,Finland,Middle East,Europe,Boeing 777-300ER,322,Airport closure — military activity
2026-03-01,LATAM Airlines,LA6922,Shanghai,Doha,China,Qatar,Asia Pacific,Middle East,Boeing 737 MAX 8,280,Security risk — conflict zone
2026-03-01,Atlas Air,AT5330,Doha,São Paulo,Qatar,Brazil,Middle East,Latin America,Airbus A380-800,398,Diplomatic advisory — do not fly
2026-03-01,Japan Airlines,JA8192,Beijing,Frankfurt,China,Germany,Asia Pacific,Europe,Boeing 737 MAX 8,232,Crew safety — company policy
2026-03-01,Copa Airlines,CO6698,Dubai,London,UAE,UK,Middle East,Europe,Airbus A350-900,171,Security risk — conflict zone
2026-03-01,Iberia,IB1430,London,Tokyo,UK,Japan,Europe,Asia Pacific,Boeing 787-10 Dreamliner,175,Security risk — conflict zone
