airport_name,iata_code,country,region,disruption_type,severity_level,flights_affected,duration_hours,date
King Khalid International Airport,RUH,Saudi Arabia,Middle East,Arrival Diversions,Critical,150,38.3,2026-02-27
King Abdulaziz International Airport,JED,Saudi Arabia,Middle East,Full Closure,Severe,80,16.4,2026-02-27
Imam Khomeini International Airport,IKA,Iran,Middle East,Arrival Diversions,Critical,178,24.0,2026-02-28
Kuwait International Airport,KWI,Kuwait,Middle East,Fuel Shortage,Severe,253,50.0,2026-03-01
Abu Dhabi International Airport,AUH,UAE,Middle East,Flight Cancellations,Moderate,125,49.5,2026-03-01
Helsinki-Vantaa Airport,HEL,Finland,Europe,Flight Cancellations,High,12,55.0,2026-03-01
Hamad International Airport,DOH,Qatar,Middle East,Flight Cancellations,High,255,7.3,2026-03-01
São Paulo-Guarulhos International Airport,GRU,Brazil,Latin America,ATC Flow Restriction,Low,72,21.1,2026-03-01
Soekarno-Hatta International Airport,CGK,Indonesia,Asia Pacific,GPS Interference Advisory,High,74,40.9,2026-03-01
Changi Airport,SIN,Singapore,Asia Pacific,GPS Interference Advisory,High,216,34.0,2026-03-02
King Khalid International Airport,RUH,Saudi Arabia,Middle East,Fuel Shortage,High,202,66.8,2026-03-02
Warsaw Chopin Airport,WAW,Poland,Europe,GPS Interference Advisory,Moderate,124,43.8,2026-03-03
Ben Gurion Airport,TLV,Israel,Middle East,Partial Closure,Moderate,191,35.3,2026-03-03
Sydney Kingsford Smith Airport,SYD,Australia,Asia Pacific,Staff Evacuation,Moderate,158,68.3,2026-03-04
Damascus International Airport,DAM,Syria,Middle East,Staff Evacuation,Critical,150,24.0,2026-03-05
Lisbon Humberto Delgado Airport,LIS,Portugal,Europe,Flight Cancellations,Low,226,52.1,2026-03-05
Ben Gurion Airport,TLV,Israel,Middle East,GPS Interference Advisory,Severe,208,56.2,2026-03-05
Baghdad International Airport,BGW,Iraq,Middle East,Security Lockdown,High,65,57.1,2026-03-07
Basra International Airport,BSR,Iraq,Middle East,Partial Closure,Critical,150,64.2,2026-03-07
Cairo International Airport,CAI,Egypt,North Africa,Arrival Diversions,Low,148,62.0,2026-03-07
