date,airline,flight_number,origin,destination,origin_country,destination_country,origin_region,destination_region,original_route,new_route,original_distance_km,new_distance_km,additional_distance_km,extra_fuel_cost_usd,delay_hours
2026-02-28,Lufthansa,LU5449,Helsinki,Dubai,Finland,UAE,Europe,Middle East,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,5847,7279,1432,8327.43,4.8
2026-02-28,Emirates,EM1077,Dubai,Tokyo,UAE,Japan,Middle East,Asia Pacific,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,3533,4809,1276,7302.99,1.4
2026-02-28,Garuda Indonesia,GA6169,Dubai,Johannesburg,UAE,South Africa,Middle East,Africa,Via Strait of Hormuz,Via Red Sea–Suez route,4257,5829,1572,6119.23,5.1
2026-02-28,Thai Airways,TH4423,Doha,Shanghai,Qatar,China,Middle East,Asia Pacific,Direct Tehran overfly,Via Ashgabat–Almaty route,5410,6876,1466,6336.73,0.7
2026-02-28,Vietnam Airlines,VI8565,Chicago,Doha,USA,Qatar,North America,Middle East,Direct Middle East overfly,Via Central Asian detour,3238,5581,2343,8812.23,3.5
2026-02-28,Air New Zealand,AI1922,London,Tokyo,UK,Japan,Europe,Asia Pacific,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,10478,11578,1100,7448.57,4.5
2026-02-28,British Airways,BR8104,London,Bahrain,UK,Bahrain,Europe,Middle East,Direct Gulf route,Via Jordan–Egypt alternate,5353,5801,448,2067.95,0.9
2026-02-28,Cargolux,CA2081,Dubai,Guangzhou,UAE,China,Middle East,Asia Pacific,Via Baghdad FIR,Via Ankara–Baku corridor,4990,5571,581,4053.22,2.0
2026-02-28,Air France,AI103,Shanghai,Paris,China,France,Asia Pacific,Europe,Via Persian Gulf,Via Indian Ocean southern route,11864,13180,1316,7676.46,3.9
2026-02-28,Cathay Pacific,CA8931,Riyadh,Cairo,Saudi Arabia,Egypt,Middle East,North Africa,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,5730,7855,2125,8758.16,0.6
2026-02-28,Cargolux,CA1766,Doha,Lisbon,Qatar,Portugal,Middle East,Europe,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,7549,8711,1162,4801.73,4.3
2026-02-28,United Airlines,UN9695,São Paulo,Doha,Brazil,Qatar,Latin America,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,7359,8761,1402,7198.83,0.5
