date,event_type,event_description,severity,aviation_impact,location_name,country
2025-12-15,Political,Widespread anti-government protests erupt across Iran after economic sanctions tighten,High,Minimal — early warning signs only,Tehran,Iran
2026-01-10,Diplomatic,UN Security Council emergency session on Iran nuclear program,Medium,Airlines begin monitoring situation,New York,USA
2026-01-25,Military,US deploys additional carrier strike group to Persian Gulf,High,Airlines issue internal risk advisories,Persian Gulf,
2026-02-05,Diplomatic,Geneva nuclear talks begin — mediated by Oman and Switzerland,Medium,Brief de-escalation — normal flight ops,Geneva,Switzerland
2026-02-14,Political,Iran announces uranium enrichment to 90% — talks collapse,Very High,Airlines begin contingency route planning,Tehran,Iran
2026-02-20,Military,Israel conducts strikes on Iranian nuclear facilities,Very High,Iran closes airspace — immediate cancellations,Isfahan,Iran
2026-02-22,Military,Iran launches retaliatory missile strikes against US bases in Iraq,Critical,"Iraq, Syria airspace closed — mass cancellations",Al Asad,Iraq
2026-02-25,Military,US commences Operation Resolute Shield — air campaign against Iran,Critical,Entire ME airspace disrupted — global rerouting,Multiple locations,Iran
2026-02-28,Military,US-Israeli coordinated military strikes on Iran commence,Critical,Full Middle East airspace lockdown,Iran — multiple targets,
2026-03-01,Energy,Iran closes Strait of Hormuz to all commercial shipping,Critical,Oil supply shock — cargo flights disrupted,Strait of Hormuz,
2026-03-02,Military,Iran-backed Houthi forces attack Saudi oil infrastructure,Critical,Saudi airports on high alert — diversions,Ras Tanura,Saudi Arabia
2026-03-03,Military,US Navy clears mines from Strait of Hormuz — ongoing operations,High,Partial oil flow restoration attempts,Strait of Hormuz,
2026-03-04,Energy,Qatar halts LNG production after drone strikes on facilities,Critical,Doha airport disruptions — fuel shortage,Ras Laffan,Qatar
2026-03-05,Humanitarian,UNHCR declares refugee emergency — millions displaced,High,Humanitarian flights authorized,Iran-Iraq border,
2026-03-06,Diplomatic,China and Russia call for immediate ceasefire at UNSC,Medium,Markets stabilize briefly — flights remain cancelled,New York,USA
2026-03-07,Economic,Pakistan petrol prices surge 20.66% — largest single-day hike,High,Aviation fuel costs spike globally,Islamabad,Pakistan
2026-03-08,Military,Iran launches ballistic missiles at US base in Bahrain,Critical,Bahrain airport closed — regional diversions,Manama,Bahrain
2026-03-09,Economic,Brent crude hits $104.25/barrel — highest since 2022,Very High,Airlines announce capacity cuts worldwide,Global markets,
2026-03-10,Diplomatic,Oman mediates preliminary ceasefire negotiations,Medium,Cautious optimism — no flight resumption yet,Muscat,Oman
2026-03-11,Military,Sporadic clashes continue despite ceasefire talks,High,Airspace remains restricted,Iran-Iraq border,
2026-03-12,Diplomatic,Temporary ceasefire announced — 72-hour humanitarian pause,High,Limited flight resumption — cautious reopening,Geneva,Switzerland
2026-03-13,Diplomatic,72-hour ceasefire holds — humanitarian aid convoys enter Iran,Medium,Some airlines announce limited flight resumption plans,Iran-Iraq border,
2026-03-14,Military,Iran partially reopens western airspace corridor under ICAO monitoring,High,Limited overflights resume via western Iran corridor,Tehran FIR,Iran
2026-03-15,Diplomatic,US-Iran direct talks begin secretly in Oman — mediated by Oman and Switzerland,Medium,Markets respond positively — oil drops below $100/barrel,Muscat,Oman
2026-03-16,Economic,Multiple airlines announce phased resumption of Middle East operations,Medium,"Emirates, Qatar Airways resume limited Dubai/Doha hub ops",Global,
2026-03-17,Diplomatic,Extended ceasefire agreement signed — 30-day truce with phased airspace reopening,High,Phased airspace reopening begins — airlines ramp up operations,Muscat,Oman
2026-03-18,Military,ICAO establishes provisional air corridors over western Iran and Iraq for commercial overflights,Medium,Commercial overflights resume on designated corridors — restrictions remain,Tehran FIR / Baghdad FIR,
2026-03-19,Economic,Emirates and Qatar Airways resume 50% of pre-conflict schedules from Dubai and Doha hubs,Medium,Major ME hub operations ramping up — connecting traffic recovering,Dubai / Doha,
2026-03-20,Economic,Brent crude falls to $92/barrel as ceasefire holds and Strait of Hormuz partially reopens,Medium,Fuel costs remain elevated but stabilizing — airline cost pressure easing,Global markets,
2026-03-21,Diplomatic,"Turkey, Jordan, and Egypt fully reopen airspace — European carriers resume Middle East routes",Medium,European airlines resume direct ME services — rerouting decreases sharply,Ankara / Amman / Cairo,
2026-03-22,Energy,Iran announces phased Strait of Hormuz reopening under international maritime monitoring,Medium,Oil supply stabilizing — cargo and freight flights resume gradually,Strait of Hormuz,
2026-03-23,Economic,IATA estimates total industry losses at $4.7 billion — calls for global conflict-resilience framework,Medium,Industry assessment phase begins — insurance claims surge,Montreal,Canada
2026-03-24,Military,ICAO expands provisional air corridors — Iran reopens eastern airspace corridor for overflights,Medium,Additional commercial overfly routes available — rerouting decreases further,Tehran FIR,Iran
2026-03-25,Diplomatic,UN Security Council passes Resolution 2742 — establishes permanent ceasefire monitoring mechanism,Medium,International confidence rises — airlines accelerate schedule restoration,New York,USA
2026-03-26,Economic,Emirates and Qatar Airways resume 75% of pre-conflict schedules — load factors recovering,Low,Major ME hub operations nearing normalization — connecting traffic at 70% of pre-conflict levels,Dubai / Doha,
2026-03-27,Economic,Pakistan government announces fuel subsidy package — petrol prices stabilize after 20.66% spike,Low,Regional aviation fuel costs begin normalizing — PIA resumes full domestic and Gulf schedules,Islamabad,Pakistan
2026-03-28,Military,Iran fully reopens airspace for commercial overflights — one month after conflict began,Medium,Full Iranian airspace available — airlines begin reverting to pre-conflict routing,Tehran FIR / Isfahan FIR,Iran
2026-03-29,Economic,IATA revises total industry losses to $5.2 billion — recovery slower than projected,Medium,Insurance claims exceed $1.8 billion — airlines seek government compensation packages,Montreal,Canada
